,Name,Matlabel,Fish,Date,Time
0,180525_115135,0,0,2018:05:25,10:51:45
1,180525_115141,0,0,2018:05:25,10:51:52
2,180525_115148,0,0,2018:05:25,10:51:58
3,180525_120052,1,0,2018:05:25,11:01:03
4,180525_120059,1,0,2018:05:25,11:01:09
5,180525_120105,1,0,2018:05:25,11:01:16
6,180525_120111,1,0,2018:05:25,11:01:21
7,180525_120116,1,0,2018:05:25,11:01:27
8,180525_120121,1,0,2018:05:25,11:01:32
9,180525_120127,1,0,2018:05:25,11:01:37
10,180525_120132,1,0,2018:05:25,11:01:43
11,180525_120139,1,0,2018:05:25,11:01:49
12,180525_120144,1,0,2018:05:25,11:01:55
13,180525_120150,1,18,2018:05:25,11:02:00
14,180525_120156,1,19,2018:05:25,11:02:06
15,180525_120236,1,21,2018:05:25,11:02:47
16,180525_120241,1,27,2018:05:25,11:02:52
17,180525_120247,1,24,2018:05:25,11:02:58
18,180525_120252,1,25,2018:05:25,11:03:03
19,180525_120258,1,26,2018:05:25,11:03:08
20,180525_120304,1,30,2018:05:25,11:03:14
21,180525_120309,1,30,2018:05:25,11:03:20
22,180525_120314,1,25,2018:05:25,11:03:25
23,180525_120320,1,25,2018:05:25,11:03:30
24,180525_120327,1,20,2018:05:25,11:03:37
25,180525_120332,1,22,2018:05:25,11:03:43
26,180525_120338,1,22,2018:05:25,11:03:49
27,180525_121252,1,4,2018:05:25,11:13:03
28,180525_121257,1,5,2018:05:25,11:13:08
29,180525_121303,1,4,2018:05:25,11:13:13
30,180525_121308,1,6,2018:05:25,11:13:19
31,180525_121314,1,3,2018:05:25,11:13:25
32,180525_121320,1,7,2018:05:25,11:13:30
33,180525_121325,1,7,2018:05:25,11:13:36
34,180525_121331,1,3,2018:05:25,11:13:41
35,180525_121336,1,7,2018:05:25,11:13:47
36,180525_121342,1,7,2018:05:25,11:13:52
37,180525_121347,1,4,2018:05:25,11:13:58
38,180525_121353,1,11,2018:05:25,11:14:04
39,180525_121433,1,16,2018:05:25,11:14:44
40,180525_121440,1,9,2018:05:25,11:14:50
41,180525_121445,1,20,2018:05:25,11:14:56
42,180525_121452,1,4,2018:05:25,11:15:03
