,Name,Matlabel,Fish,Date,Time
0,180719_111412,0,0,2018:07:19,11:14:07
1,180719_111452,0,0,2018:07:19,11:14:14
2,180719_111457,0,0,2018:07:19,11:14:47
3,180719_111504,0,0,2018:07:19,11:14:59
4,180719_111511,0,0,2018:07:19,11:15:07
5,180719_111518,0,0,2018:07:19,11:15:14
6,180719_111526,0,0,2018:07:19,11:15:22
7,180719_111532,0,0,2018:07:19,11:15:27
8,180719_111542,1,13,2018:07:19,11:15:38
9,180719_111550,1,10,2018:07:19,11:15:45
10,180719_111557,1,20,2018:07:19,11:15:53
11,180719_112502,0,0,2018:07:19,11:24:58
12,180719_112509,0,0,2018:07:19,11:25:05
13,180719_112516,0,0,2018:07:19,11:25:12
14,180719_112523,0,0,2018:07:19,11:25:19
15,180719_112653,1,2,2018:07:19,11:25:26
16,180719_112659,1,3,2018:07:19,11:26:54
17,180719_112707,1,3,2018:07:19,11:27:03
18,180719_112721,1,2,2018:07:19,11:27:17
19,180719_112728,1,3,2018:07:19,11:27:24
20,180719_112734,1,4,2018:07:19,11:27:30
21,180719_112742,1,4,2018:07:19,11:27:37
22,180719_112748,1,3,2018:07:19,11:27:43
23,180719_112754,1,4,2018:07:19,11:27:49
24,180719_112802,1,4,2018:07:19,11:27:58
25,180719_113702,1,3,2018:07:19,11:36:57
26,180719_113709,1,4,2018:07:19,11:37:04
27,180719_113715,1,6,2018:07:19,11:37:11
28,180719_113725,1,2,2018:07:19,11:37:21
29,180719_113731,1,1,2018:07:19,11:37:27
30,180719_113738,0,0,2018:07:19,11:37:34
31,180719_113744,0,0,2018:07:19,11:37:39
32,180719_113751,1,2,2018:07:19,11:37:47
33,180719_113802,1,4,2018:07:19,11:37:58
34,180719_113814,1,5,2018:07:19,11:38:09
35,180719_113859,1,2,2018:07:19,11:38:54
36,180719_113905,1,3,2018:07:19,11:39:01
37,180719_113914,1,6,2018:07:19,11:39:09
38,180719_113920,1,5,2018:07:19,11:39:16
39,180719_113927,1,5,2018:07:19,11:39:23
40,180719_113934,1,5,2018:07:19,11:39:30
41,180719_113940,1,5,2018:07:19,11:39:36
42,180719_113947,1,3,2018:07:19,11:39:43
43,180719_113954,1,7,2018:07:19,11:39:50
44,180719_114005,1,6,2018:07:19,11:40:01
45,180719_114011,1,11,2018:07:19,11:40:07
46,180719_114902,0,0,2018:07:19,11:48:57
47,180719_114908,0,0,2018:07:19,11:49:04
48,180719_114915,0,0,2018:07:19,11:49:11
49,180719_114925,0,0,2018:07:19,11:49:21
50,180719_114932,0,0,2018:07:19,11:49:28
51,180719_114940,0,0,2018:07:19,11:49:36
52,180719_114947,0,0,2018:07:19,11:49:43
53,180719_114954,0,0,2018:07:19,11:49:50
54,180719_115000,0,0,2018:07:19,11:49:56
55,180719_115006,0,0,2018:07:19,11:50:01
56,180719_115012,1,6,2018:07:19,11:50:07
57,180719_115052,1,8,2018:07:19,11:50:13
58,180719_115055,1,26,2018:07:19,11:50:48
59,180719_115101,1,19,2018:07:19,11:50:57
60,180719_115108,1,17,2018:07:19,11:51:04
61,180719_115115,1,16,2018:07:19,11:51:11
62,180719_115124,1,17,2018:07:19,11:51:19
63,180719_115131,1,7,2018:07:19,11:51:27
64,180719_115138,1,7,2018:07:19,11:51:34
65,180719_115144,1,8,2018:07:19,11:51:39
66,180719_115151,0,0,2018:07:19,11:51:47
67,180719_115157,0,0,2018:07:19,11:51:53
68,180719_115204,0,0,2018:07:19,11:52:00
69,180719_120101,1,28,2018:07:19,12:00:57
70,180719_120107,1,15,2018:07:19,12:01:03
71,180719_120113,1,9,2018:07:19,12:01:08
72,180719_120119,0,0,2018:07:19,12:01:15
73,180719_120125,0,0,2018:07:19,12:01:21
74,180719_120134,0,0,2018:07:19,12:01:29
75,180719_120145,0,0,2018:07:19,12:01:40
76,180719_120151,0,0,2018:07:19,12:01:46
77,180719_120157,0,0,2018:07:19,12:01:52
78,180719_120202,0,0,2018:07:19,12:01:58
79,180719_120214,0,0,2018:07:19,12:02:10
80,180719_120255,0,0,2018:07:19,12:02:51
81,180719_120302,0,0,2018:07:19,12:02:58
82,180719_120308,0,0,2018:07:19,12:03:04
83,180719_120314,0,0,2018:07:19,12:03:10
84,180719_120321,0,0,2018:07:19,12:03:17
85,180719_120335,1,2,2018:07:19,12:03:31
86,180719_120341,0,0,2018:07:19,12:03:37
87,180719_120347,0,0,2018:07:19,12:03:42
88,180719_120355,0,0,2018:07:19,12:03:50
89,180719_120404,0,0,2018:07:19,12:03:59
90,180719_121303,1,34,2018:07:19,12:12:58
91,180719_121308,1,32,2018:07:19,12:13:04
92,180719_121314,1,29,2018:07:19,12:13:09
93,180719_121321,1,23,2018:07:19,12:13:16
94,180719_121327,1,15,2018:07:19,12:13:22
95,180719_121332,1,13,2018:07:19,12:13:28
96,180719_121338,1,8,2018:07:19,12:13:34
97,180719_121345,1,3,2018:07:19,12:13:41
98,180719_121352,1,3,2018:07:19,12:13:47
99,180719_121359,1,4,2018:07:19,12:13:54
100,180719_121404,1,0,2018:07:19,12:14:00
101,180719_121412,1,0,2018:07:19,12:14:08
102,180719_121455,1,8,2018:07:19,12:14:51
103,180719_121502,0,0,2018:07:19,12:14:57
104,180719_121508,0,0,2018:07:19,12:15:04
105,180719_121516,0,0,2018:07:19,12:15:12
106,180719_121522,0,0,2018:07:19,12:15:17
107,180719_121528,0,0,2018:07:19,12:15:23
108,180719_121535,0,0,2018:07:19,12:15:30
109,180719_121541,0,0,2018:07:19,12:15:36
110,180719_121547,0,0,2018:07:19,12:15:43
111,180719_121553,0,0,2018:07:19,12:15:49
112,180719_121559,0,0,2018:07:19,12:15:54
113,180719_121607,0,0,2018:07:19,12:16:02
114,180719_122502,0,0,2018:07:19,12:24:57
115,180719_122507,0,0,2018:07:19,12:25:02
116,180719_122519,0,0,2018:07:19,12:25:15
117,180719_122527,0,0,2018:07:19,12:25:22
118,180719_122534,0,0,2018:07:19,12:25:29
119,180719_122540,0,0,2018:07:19,12:25:35
120,180719_122546,0,0,2018:07:19,12:25:41
121,180719_122551,0,0,2018:07:19,12:25:47
122,180719_122600,0,0,2018:07:19,12:25:56
123,180719_122610,0,0,2018:07:19,12:26:06
124,180719_122652,0,0,2018:07:19,12:26:11
125,180719_122657,0,0,2018:07:19,12:26:48
126,180719_122704,0,0,2018:07:19,12:26:59
127,180719_122713,0,0,2018:07:19,12:27:08
128,180719_122722,0,0,2018:07:19,12:27:18
129,180719_122730,0,0,2018:07:19,12:27:26
130,180719_122738,0,0,2018:07:19,12:27:33
131,180719_122745,0,0,2018:07:19,12:27:40
132,180719_122751,0,0,2018:07:19,12:27:46
133,180719_122758,0,0,2018:07:19,12:27:53
134,180719_122804,0,0,2018:07:19,12:27:59
135,180719_123701,1,7,2018:07:19,12:36:57
136,180719_123708,1,0,2018:07:19,12:37:04
137,180719_123714,1,0,2018:07:19,12:37:09
138,180719_123719,1,0,2018:07:19,12:37:15
139,180719_123725,1,1,2018:07:19,12:37:21
140,180719_123734,1,5,2018:07:19,12:37:30
141,180719_123741,1,7,2018:07:19,12:37:36
142,180719_123853,0,0,2018:07:19,12:37:48
143,180719_123856,1,11,2018:07:19,12:38:48
144,180719_123902,0,0,2018:07:19,12:38:58
145,180719_123908,0,0,2018:07:19,12:39:03
