,Name,Matlabel,Fish,Time,Date_cam
0,180710_112503,0,0,10:25:13,180710_1
1,180710_112509,0,0,10:25:20,180710_1
2,180710_112516,0,0,10:25:27,180710_1
3,180710_112523,0,0,10:25:34,180710_1
4,180710_112529,0,0,10:25:40,180710_1
5,180710_112537,0,0,10:25:48,180710_1
6,180710_112546,0,0,10:25:57,180710_1
7,180710_112552,0,0,10:26:03,180710_1
8,180710_112558,0,0,10:26:08,180710_1
9,180710_112605,0,0,10:26:15,180710_1
10,180710_112614,0,0,10:26:24,180710_1
11,180710_112655,1,0,10:26:31,180710_1
12,180710_112659,0,0,10:27:06,180710_1
13,180710_112704,0,0,10:27:15,180710_1
14,180710_112711,0,0,10:27:22,180710_1
15,180710_112717,0,0,10:27:28,180710_1
16,180710_112724,0,0,10:27:35,180710_1
17,180710_112731,0,0,10:27:42,180710_1
18,180710_112737,1,1,10:27:47,180710_1
19,180710_112742,1,1,10:27:53,180710_1
20,180710_112751,1,1,10:28:01,180710_1
21,180710_112756,1,1,10:28:07,180710_1
22,180710_112805,1,1,10:28:16,180710_1
23,180710_113703,0,0,10:37:13,180710_1
24,180710_113709,0,0,10:37:20,180710_1
25,180710_113715,0,0,10:37:25,180710_1
26,180710_113720,1,1,10:37:31,180710_1
27,180710_113726,0,0,10:37:37,180710_1
28,180710_113732,0,0,10:37:43,180710_1
29,180710_113738,0,0,10:37:48,180710_1
30,180710_113744,0,0,10:37:55,180710_1
31,180710_113752,0,0,10:38:03,180710_1
32,180710_113758,0,0,10:38:08,180710_1
33,180710_113805,0,0,10:38:15,180710_1
34,180710_113812,0,0,10:38:23,180710_1
35,180710_113854,0,0,10:39:04,180710_1
36,180710_113859,0,0,10:39:10,180710_1
37,180710_113905,0,0,10:39:15,180710_1
38,180710_113912,0,0,10:39:22,180710_1
39,180710_113920,0,0,10:39:30,180710_1
40,180710_113929,0,0,10:39:39,180710_1
41,180710_113936,0,0,10:39:46,180710_1
42,180710_113943,1,3,10:39:53,180710_1
43,180710_113951,1,4,10:40:01,180710_1
44,180710_113956,1,1,10:40:07,180710_1
45,180710_114002,0,0,10:40:13,180710_1
46,180710_114008,0,0,10:40:18,180710_1
47,180710_114903,1,2,10:49:13,180710_1
48,180710_114908,1,4,10:49:19,180710_1
49,180710_114913,0,0,10:49:24,180710_1
50,180710_114920,0,0,10:49:30,180710_1
51,180710_114927,0,0,10:49:38,180710_1
52,180710_114936,0,0,10:49:46,180710_1
53,180710_114942,0,0,10:49:52,180710_1
54,180710_114947,0,0,10:49:58,180710_1
55,180710_114954,0,0,10:50:05,180710_1
56,180710_115000,0,0,10:50:10,180710_1
57,180710_115005,0,0,10:50:16,180710_1
58,180710_115012,0,0,10:50:22,180710_1
59,180710_115051,0,0,10:51:02,180710_1
60,180710_115056,0,0,10:51:07,180710_1
61,180710_115102,0,0,10:51:13,180710_1
62,180710_115108,0,0,10:51:19,180710_1
63,180710_115119,1,24,10:51:30,180710_1
64,180710_115125,1,8,10:51:36,180710_1
65,180710_115132,1,11,10:51:43,180710_1
66,180710_115138,0,0,10:51:49,180710_1
67,180710_115145,1,2,10:51:56,180710_1
68,180710_115151,1,1,10:52:02,180710_1
69,180710_115157,1,6,10:52:08,180710_1
70,180710_115203,1,4,10:52:13,180710_1
71,180710_120103,0,0,11:01:13,180710_1
72,180710_120108,0,0,11:01:18,180710_1
73,180710_120113,0,0,11:01:24,180710_1
74,180710_120119,0,0,11:01:30,180710_1
75,180710_120125,0,0,11:01:36,180710_1
76,180710_120253,0,0,11:01:42,180710_1
77,180710_120257,0,0,11:03:04,180710_1
78,180710_120304,0,0,11:03:15,180710_1
79,180710_120310,0,0,11:03:20,180710_1
80,180710_120315,0,0,11:03:26,180710_1
81,180710_120322,0,0,11:03:33,180710_1
82,180710_120328,1,2,11:03:38,180710_1
83,180710_120335,1,2,11:03:45,180710_1
84,180710_120343,1,1,11:03:53,180710_1
85,180710_120348,0,0,11:03:59,180710_1
86,180710_120359,0,0,11:04:09,180710_1
87,180710_120405,0,0,11:04:15,180710_1
88,180710_121303,0,0,11:13:13,180710_1
