,Date_cam,Matlabel,Fish,Name,Date,Cam
0,180525_0,937,11288,940,180525,0
1,180526_0,805,5390,1618,180526,0
2,180710_1,169,583,993,180710,1
3,180710_4,538,2949,883,180710,4
4,180711_1,222,753,1678,180711,1
5,180711_4,753,4354,1385,180711,4
6,180712_1,244,1083,1648,180712,1
7,180712_4,545,1996,1403,180712,4
8,180713_1,225,1155,1686,180713,1
9,180713_4,529,1134,1405,180713,4
10,180714_1,228,804,1622,180714,1
11,180714_4,0,0,1413,180714,4
12,180715_1,242,777,1647,180715,1
13,180716_1,236,761,1534,180716,1
14,180717_1,204,595,1466,180717,1
15,180717_2,227,1233,1674,180717,2
16,180717_3,315,1058,1681,180717,3
17,180717_4,805,2531,1672,180717,4
18,180718_1,321,1475,1483,180718,1
19,180718_2,464,2545,1684,180718,2
20,180718_3,505,2236,1620,180718,3
21,180718_4,1150,6231,1673,180718,4
22,180719_1,344,1696,1430,180719,1
23,180719_2,481,3272,1650,180719,2
24,180719_3,647,2299,1651,180719,3
25,180719_4,0,0,1697,180719,4
26,180720_1,237,829,1424,180720,1
27,180720_2,372,3439,1647,180720,2
28,180720_3,554,2111,1479,180720,3
29,180720_4,975,3771,1665,180720,4
30,180721_1,135,422,1239,180721,1
31,180722_1,8,11,203,180722,1
32,180723_1,2,0,61,180723,1
